brand,detailurl,factory,imgname,modelname,price,CA,asthma,atopy,allergy,CADR,anion,compound,filter,varietyfilter,HEPA,PM,peoung,size
아이담테크,http://www.enuri.com/detail.jsp?modelno=26411423&cate=240616,아이담테크,http://image.enuri.gscdn.com/webimage_300/3422300000/3422360000/3422368869.jpg,비비에어 공기청정기,32900,,,,,,음이온식,,,,FALSE,,,6.5 x 4.3 x 3.3cm
쿠쿠,http://www.enuri.com/detail.jsp?modelno=26002787&cate=240616,쿠쿠,http://photo3.enuri.com/data/images/service/img_300/22947000/22947663.jpg,AC-09XHI10FW,23900,CA인증,,,,,,복합식,,"프리필터 ,    탈취필터 ,안심HEPA필터",TRUE,,9,43 x 55 x 27.6cm
퓨리케어,http://www.enuri.com/detail.jsp?modelno=15691365&cate=240616,LG,http://photo3.enuri.com/data/images/service/img_300/15691000/15691365.jpg,AS251DAW(사업자전용),893000,CA인증,천식협회인증,,알레르기협회인증,,,복합식,,"프리필터 ,토탈알러지집진필터,토탈유해가스필터",FALSE,,24.5,37.3 x 99.6 x 37.3cm
아이담테크,http://www.enuri.com/detail.jsp?modelno=14108892&cate=240616,아이담테크,http://photo3.enuri.com/data/images/service/img_300/14108000/14108892.jpg,하이게이아 에어,49800,,,,,,,복합식,,"카본필터,    HEPA필터",TRUE,,2.4,11.5 x 20.9 x 11.5cm
위닉스,http://www.enuri.com/detail.jsp?modelno=7457501&cate=240616,위닉스,http://photo3.enuri.com/data/images/service/img_300/7457000/7457501.jpg,AWP-600R,275300,CA인증,,,,,,복합식,,"프리필터 ,카본필터,    HEPA필터",TRUE,,6,37.2 x 46.3 x 19.9cm
위닉스,http://www.enuri.com/detail.jsp?modelno=2127418&cate=240616,위닉스,http://photo3.enuri.com/data/images/service/img_300/2127000/2127418.jpg,AW-190T,241530,CA인증,,,,,,복합식,,"프리필터 ,    워셔블탈취필터 ,    워셔블HEPA필터",TRUE,,6,37.2 x 46.3 x 19.9cm
코웨이,http://www.enuri.com/detail.jsp?modelno=26002810&cate=240616,코웨이,http://photo3.enuri.com/data/images/service/big/26002000/26002808.jpg,AP-1817F,36900,CA인증,,,,,,,필터식,"프리필터 ,복합필터,    탈취필터",FALSE,,24.1,98 x 39 x 18.6cm
벤타,http://www.enuri.com/detail.jsp?modelno=24466953&cate=240616,벤타,http://photo3.enuri.com/data/images/service/img_300/23461000/23461441.jpg,LP-60,1408120,,,,,,,,필터식,"프리필터 ,벤타셀필터,벤타캅필터",FALSE,,,61 x 52 x 30cm
교원웰스,http://www.enuri.com/detail.jsp?modelno=22968984&cate=240616,교원웰스,http://photo3.enuri.com/data/images/service/img_300/22968000/22968984.jpg,교원  KW-A12W2,26900,,,,,,,복합식,,"프리필터 ,복합필터,    탈취필터 ,    HEPA필터",TRUE,,9,31.2 x 61 x 31.2cm
쿠쿠,http://www.enuri.com/detail.jsp?modelno=22968187&cate=240616,쿠쿠,http://image.enuri.gscdn.com/webimage_300/3058800000/3058840000/3058840128.jpg,AC-12XI10FW,388290,CA인증,,,,,,복합식,,"프리필터 ,    탈취필터 ,안심HEPA필터",TRUE,,9,43 x 55 x 27.6cm
쿠쿠,http://www.enuri.com/detail.jsp?modelno=22947641&cate=240616,쿠쿠,http://photo3.enuri.com/data/images/service/img_300/22947000/22947545.jpg,AC-12ZH10FW,22900,CA인증,,,,,,복합식,,"프리필터 ,    탈취필터 ,안심HEPA필터",TRUE,,11.3,47 x 61 x 25cm
쿠쿠,http://www.enuri.com/detail.jsp?modelno=22947518&cate=240616,쿠쿠,http://photo3.enuri.com/data/images/service/img_300/22947000/22947360.jpg,AC-10X10FW,20900,CA인증,,,,,,복합식,,"프리필터 ,    탈취필터 ,안심HEPA필터",TRUE,,11.3,43 x 55 x 27.6cm
,http://www.enuri.com/detail.jsp?modelno=14984416&cate=240616,,http://photo3.enuri.com/data/images/service/img_300/14984000/14984416.jpg,PB-A302,112800,,,,,,음이온식,,,,FALSE,,,     
청호나이스,http://www.enuri.com/detail.jsp?modelno=11982698&cate=240616,청호나이스,http://photo3.enuri.com/data/images/service/img_300/12890000/12890567.jpg,CHA-500FA,30900,,,,,,,,필터식,"프리필터 ,    탈취필터 ,    항알레르겐HEPA필터",TRUE,,9.6,28.9 x 65.4 x 28.2cm
아하코리아,http://www.enuri.com/detail.jsp?modelno=11767702&cate=240616,아하코리아,http://photo3.enuri.com/data/images/service/img_300/11767000/11767702.jpg,애플 USB 공기청정기,11610,,,,,,,복합식,,카본필터,FALSE,,3.6,8 x 7 x 8cm
오스틴에어,http://www.enuri.com/detail.jsp?modelno=569946&cate=240616,오스틴에어,http://photo3.enuri.com/data/images/service/small/569000/569946.gif,HM-400,1490370,,,,,,,,필터식,"프리필터 ,    탈취필터 ,    HEPA필터",TRUE,,42,36 x 58 x 36cm
이지스,http://www.enuri.com/detail.jsp?modelno=98022&cate=240616,이지스,http://photo3.enuri.com/data/images/service/img_300/98000/98022.jpg,EGS-060,14100,,,,,,음이온식,,,,FALSE,,6.3,6.7 x 13 x 6.7cm
청호나이스,http://www.enuri.com/detail.jsp?modelno=27907641&cate=240616,청호나이스,http://photo3.enuri.com/data/images/service/big/27907000/27907640.jpg,AP-17H8560,39770,,,,,,,,필터식,"프리필터 ,미디움필터,집진필터,    탈취필터",FALSE,,17.8,103.7 x 36.1 x 21.9cm
NEST,http://www.enuri.com/detail.jsp?modelno=26045110&cate=240616,NEST,http://photo3.enuri.com/data/images/service/big/26045000/26045110.jpg,공기청정기 아쿠퓨어(NTAP-02),122190,,,,,,,복합식,,HEPA필터,TRUE,,3,7.5 x 20.4cm
웰스,http://www.enuri.com/detail.jsp?modelno=24036600&cate=240616,웰스,http://photo3.enuri.com/data/images/service/img_300/24036000/24036600.jpg,KW-A09W1,33900,,,,,,,복합식,,"프리필터 ,복합필터,    탈취필터 ,    HEPA필터",TRUE,,12.7,31.2 x 71.5 x 31.2cm
블루스카이,http://www.enuri.com/detail.jsp?modelno=23490869&cate=240616,삼성,http://photo3.enuri.com/data/images/service/img_300/23490000/23490869.jpg,AX80M7080WDD(인터넷가입조건),125580,CA인증,,,,,,복합식,,"프리필터 ,    숯탈취필터 ,초미세먼지항균필터",FALSE,,24.1,36 x 105.4 x 28.4cm
모비스타,http://www.enuri.com/detail.jsp?modelno=23247491&cate=240616,모비스타,http://photo3.enuri.com/data/images/service/img_300/23247000/23247491.jpg,쥬니온 IA-300W,62810,,,,,,,복합식,,"항알레르겐필터,    HEPA필터",TRUE,,,     
카도,http://www.enuri.com/detail.jsp?modelno=21486822&cate=240616,카도,http://image.enuri.gscdn.com/webimage_300/2964100000/2964120000/2964126882.jpg,AP-C110,512000,,,,,,,,필터식,,FALSE,,6,     
한국씨앤오테크,http://www.enuri.com/detail.jsp?modelno=21048278&cate=240616,한국씨앤오테크,http://photo3.enuri.com/data/images/service/big/21048000/21048278.jpg,에어가디언 KL-20,878990,,,,,,,,,,FALSE,,19.9,     
SK매직,http://www.enuri.com/detail.jsp?modelno=22948905&cate=240616,SK매직,http://image.enuri.gscdn.com/webimage_300/2775500000/2775510000/2775512673.jpg,ACL-V16,27900,,,,,,,,필터식,"프리필터 ,더스트필터,    탈취필터 ,    HEPA필터",TRUE,,15.9,37 x 75.4 x 37cm
바이오세라,http://www.enuri.com/detail.jsp?modelno=15245863&cate=240616,바이오세라,http://photo3.enuri.com/data/images/service/img_300/15245000/15245863.jpg,오커테라 OTA-201,35180,,,,,,,,필터식,바이오세라믹필터,FALSE,,,5 x 5 x 5cm
EMW,http://www.enuri.com/detail.jsp?modelno=12443593&cate=240616,EMW,http://photo3.enuri.com/data/images/service/img_300/12441000/12441734.jpg,CK-S10,31600,,,,,,,,,,FALSE,,14.9,     
Duux,http://www.enuri.com/detail.jsp?modelno=12178737&cate=240616,Duux,http://photo3.enuri.com/data/images/service/img_300/12178000/12178737.jpg,DUAP02,74260,,,,,,,복합식,,"액티브카본필터,    HEPA필터",TRUE,,7.5,20 x 19 x 20cm
O2케어,http://www.enuri.com/detail.jsp?modelno=12003725&cate=240616,메디슨,http://photo3.enuri.com/data/images/service/img_300/12003000/12003725.jpg,MC-L2000,68630,,,,,,,복합식,,HEPA필터,TRUE,,,     
퓨리케어,http://www.enuri.com/detail.jsp?modelno=11776375&cate=240616,LG,http://photo3.enuri.com/data/images/service/img_300/11776000/11776375.jpg,LA-W119PW,569940,CA인증,,,,,,복합식,,"프리필터 ,    Hybrid탈취필터 ,    알러지초미세먼지필터",FALSE,,11.1,29.5 x 77.9 x 30.8cm
신일산업,http://www.enuri.com/detail.jsp?modelno=11083758&cate=240616,신일산업,http://photo3.enuri.com/data/images/service/img_300/11083000/11083758.jpg,SAR-9000EQ,187370,,,,,,,,필터식,HEPA필터,TRUE,,8.4,34 x 54 x 24cm
아이엠헬스케어,http://www.enuri.com/detail.jsp?modelno=9190691&cate=240616,아이엠헬스케어,http://photo3.enuri.com/data/images/service/img_300/9190000/9190691.jpg,Dr.USB ionizer,42710,,,,,,,,,,FALSE,,,     
보성전자,http://www.enuri.com/detail.jsp?modelno=9091889&cate=240616,보성전자,http://image.enuri.gscdn.com/webimage_300/534600000/534660000/534667556.jpg,IB-200BN,621070,,,,,,,복합식,,프리필터,FALSE,,15.1,48 x 70 x 22cm
아쿠스타,http://www.enuri.com/detail.jsp?modelno=7729118&cate=240616,아쿠스타,http://image.enuri.gscdn.com/webimage2/229400000/229400000/229405369.jpg,SAP-600,141340,,,,,,,복합식,,"프리필터 ,    HEPA필터",TRUE,,,41 x 60 x 17cm
노비타,http://www.enuri.com/detail.jsp?modelno=28213710&cate=240616,노비타,http://photo3.enuri.com/data/images/service/big/28213000/28213710.jpg,퓨리아 AP-KT30D,230880,,,,,,,,필터식,"프리필터 ,    탈취필터 ,초미세먼지필터",FALSE,,13,29 x 78 x 29cm
APC,http://www.enuri.com/detail.jsp?modelno=27722213&cate=240616,APC,http://photo3.enuri.com/data/images/service/big/27722000/27722213.jpg,에어닥터 AC-20,939990,,,,,,,,,,FALSE,,,     
지웰코리아,http://www.enuri.com/detail.jsp?modelno=27721664&cate=240616,지웰코리아,http://image.enuri.gscdn.com/webimage_300/3602700000/3602710000/3602718709.jpg,루바 나노 살균 공기청정기,178000,,,,,,,복합식,,"카본필터,e-나노필터",FALSE,,7.5,19 x 25cm
TRADIT,http://www.enuri.com/detail.jsp?modelno=26141310&cate=240616,TRADIT,http://photo3.enuri.com/data/images/service/big/26141000/26141310.jpg,크렁크 공기청정기(KRU-A100),45020,,,,,,음이온식,,,,FALSE,,,13.3 x 19.8 x 9.9
알로,http://www.enuri.com/detail.jsp?modelno=26141197&cate=240616,알로,http://photo3.enuri.com/data/images/service/big/26141000/26141197.jpg,A5-C,59000,,,,,,음이온식,,,,FALSE,,,6.5 x 15cm
Tevigo,http://www.enuri.com/detail.jsp?modelno=26045267&cate=240616,Tevigo,http://photo3.enuri.com/data/images/service/big/26045000/26045267.jpg,OP-010,102460,,,,,,음이온식,,,,FALSE,,27.2,15 x 28 x 9
동양에스앤티,http://www.enuri.com/detail.jsp?modelno=25483195&cate=240616,동양에스앤티,http://photo3.enuri.com/data/images/service/big/25483000/25483195.jpg,DYS-8801R,285990,,,,,,음이온식,,,,FALSE,,5.4,19 x 28.3cm
퓨리케어,http://www.enuri.com/detail.jsp?modelno=24349268&cate=240616,LG,http://photo3.enuri.com/data/images/service/img_300/24349000/24349268.jpg,AS122VDS(사업자전용),368760,CA인증,,,,,,복합식,,"프리필터 ,토탈알러지집진필터,토탈유해가스필터",FALSE,PM1.0,10.9,47 x 45 x 23cm
모비스타,http://www.enuri.com/detail.jsp?modelno=24012551&cate=240616,모비스타,http://photo3.enuri.com/data/images/service/img_300/24012000/24012551.jpg,쥬니온 IA-350W,62250,,,,,,,복합식,,"항알레르겐필터,    HEPA필터",TRUE,,,11 x 11 x 3.7cm
SK매직,http://www.enuri.com/detail.jsp?modelno=19587017&cate=240616,SK매직,http://photo3.enuri.com/data/images/service/img_300/18041000/18041688.jpg,ACL-V12,22900,,,,,,,,필터식,"프리필터 ,    탈취필터 ,허니파우더필터,    HEPA필터",TRUE,,11.7,42 x 42 x 22cm
에어텍,http://www.enuri.com/detail.jsp?modelno=17829285&cate=240616,에어텍,http://image.enuri.gscdn.com/webimage_300/2839100000/2839140000/2839149184,VAV 알라딘 디즈니 미키마우스,64860,,,,,,,,필터식,e-나노필터,FALSE,,4.5,19 x 17.5cm
iac,http://www.enuri.com/detail.jsp?modelno=15371062&cate=240616,iac,http://photo3.enuri.com/data/images/service/img_300/15371000/15371062.jpg,원샷 공기 청정기,700620,,,아토피안심인증,,,,복합식,,,FALSE,,,32.9 x 60.9 x 21cm
보네코,http://www.enuri.com/detail.jsp?modelno=15094884&cate=240616,보네코,http://image.enuri.gscdn.com/webimage_300/2640900000/2640900000/2640902507.jpg,P500,548690,,,,,CADR,,,필터식,"항알레르겐필터,활성탄필터,    HEPA필터",TRUE,,8.4,45 x 64.2 x 22.4cm
블루스카이,http://www.enuri.com/detail.jsp?modelno=14603804&cate=240616,삼성,http://photo3.enuri.com/data/images/service/img_300/14603000/14603804.jpg,AX80K7051WDD,974230,CA인증,,,,,,복합식,,"프리필터 ,    숯탈취필터 ,초미세먼지항균필터",FALSE,,27.2,36 x 105.4 x 28.4cm
디에떼,http://www.enuri.com/detail.jsp?modelno=13460369&cate=240616,디에떼,http://image.enuri.gscdn.com/webimage_300/2362100000/2362180000/2362180946.jpg,DAP-634PWH,256410,CA인증,,,,,,복합식,,"프리필터 ,알레르겐필터,    탈취필터 ,황사필터,    HEPA필터",TRUE,,10.9,46 x 57 x 30cm
코웨이,http://www.enuri.com/detail.jsp?modelno=13172854&cate=240616,코웨이,http://photo3.enuri.com/data/images/service/img_300/13172000/13172854.jpg,AP-1016N,21500,,,,,,,,필터식,"프리필터 ,    맞춤필터 ,    탈취필터 ,    항바이러스HEPA필터",TRUE,,10,35.4 x 64.5 x 19.4cm
쿠쿠,http://www.enuri.com/detail.jsp?modelno=12707189&cate=240616,쿠쿠,http://photo3.enuri.com/data/images/service/big/12707000/12707189.jpg,CAC-B1210FW,21900,CA인증,,,,,,,필터식,"프리필터 ,알레르겐필터,유해가스안심필터,    탈취필터 ,    HEPA필터",TRUE,,12.4,45.2 x 63 x 23.6cm
아가미,http://www.enuri.com/detail.jsp?modelno=12052954&cate=240616,아가미,http://photo3.enuri.com/data/images/service/img_300/12052000/12052954.jpg,공기청정기(STL-AP100),280110,,,,,,,,필터식,e-나노필터,FALSE,,,28 x 36 x 28cm
라이트에어,http://www.enuri.com/detail.jsp?modelno=11604697&cate=240616,라이트에어,http://photo3.enuri.com/data/images/service/img_300/11604000/11604697.jpg,Signature,730730,,,,,,음이온식,,,,FALSE,,18.1,     
교원웰스,http://www.enuri.com/detail.jsp?modelno=23250784&cate=240616,교원웰스,http://photo3.enuri.com/data/images/service/img_300/23250000/23250784.jpg,교원  KW-A05W2,29500,,,,,,,복합식,,,FALSE,,,     
힘펠,http://www.enuri.com/detail.jsp?modelno=9148313&cate=240616,힘펠,http://photo3.enuri.com/data/images/service/img_300/9148000/9148313.jpg,FHA-P130S,338000,,,,,,음이온식,,,#NAME?,FALSE,,,    +히터 
유진D&amp;D,http://www.enuri.com/detail.jsp?modelno=9119026&cate=240616,유진D&amp;D,http://image.enuri.gscdn.com/webimage_300/847600000/847640000/847641810.jpg,EUG-A1000,417560,,,,,,음이온식,,,,FALSE,,,     
에어비타,http://www.enuri.com/detail.jsp?modelno=2569098&cate=240616,에어비타,http://photo3.enuri.com/data/images/service/img_300/2569000/2569098.jpg,네오골드,137340,,,,,,음이온식,,,,FALSE,,15,12.9 x 12.8 x 8.5cm
컴텔핫썬,http://www.enuri.com/detail.jsp?modelno=1992528&cate=240616,컴텔핫썬,http://photo3.enuri.com/data/images/service/small/1992000/1992528.gif,HAS-6001,1777970,,,,,,,복합식,,"프리필터 ,탄소필터,    HEPA필터",TRUE,,24.9,41 x 86.5 x 28.5cm
머레이,http://www.enuri.com/detail.jsp?modelno=28290152&cate=240616,머레이,http://photo3.enuri.com/data/images/service/big/28290000/28290152.jpg,PQ3000,84390,,,,,,,,필터식,탈취카본필터,FALSE,,29.9,13.3 x 24.5 x 13.3cm
하츠,http://www.enuri.com/detail.jsp?modelno=26860191&cate=240616,하츠,http://image.enuri.gscdn.com/webimage_300/3469200000/3469240000/3469246457.jpg,뮤렌 IAP-300SW,1127690,,,,,,,,필터식,"프리필터 ,    숯탈취필터 ,    저온촉매탈취필터 ,쿠퍼헤파필터,오일필터",FALSE,,,48 x 26.6cm
이오니스,http://www.enuri.com/detail.jsp?modelno=26141468&cate=240616,이오니스,http://photo3.enuri.com/data/images/service/big/26141000/26141468.jpg,닥터브이 넥밴드형 공기청정기,65450,,,,,,음이온식,,,,FALSE,,,16 x 15 x 2.2cm
에어봄,http://www.enuri.com/detail.jsp?modelno=26141422&cate=240616,에어봄,http://photo3.enuri.com/data/images/service/big/26141000/26141422.jpg,HEPA C 공기청정기,71000,,,,,,,,필터식,HEPA필터,TRUE,,,6.6 x 18cm
EMW,http://www.enuri.com/detail.jsp?modelno=26141121&cate=240616,EMW,http://photo3.enuri.com/data/images/service/big/26141000/26141121.jpg,미니,425400,,,,,,,,,,FALSE,,6.9,26 x 47 x 23cm
대유위니아,http://www.enuri.com/detail.jsp?modelno=24002043&cate=240616,대유위니아,http://photo3.enuri.com/data/images/service/img_300/24002000/24002043.jpg,EPB16RAES,290460,CA인증,,아토피안심인증,,,,복합식,,"프리필터 ,극초미세집진필터,    탈취카본필터",FALSE,,16,38.6 x 64 x 26.5cm
에어로사이드,http://www.enuri.com/detail.jsp?modelno=18665515&cate=240616,에어로사이드,http://image.enuri.gscdn.com/webimage_300/2818100000/2818100000/2818106867.jpg,GCS-50,10780000,,,,,,,,,,FALSE,,,58.1 x 72 x 11.6cm
이오니스,http://www.enuri.com/detail.jsp?modelno=18625281&cate=240616,이오니스,http://image.enuri.gscdn.com/webimage_300/2692300000/2692340000/2692344345.jpg,닥터큐,65790,,,,,,음이온식,,,,FALSE,,,     
IQAir,http://www.enuri.com/detail.jsp?modelno=17187301&cate=240616,컨텍,http://image.enuri.gscdn.com/webimage_300/2773100000/2773150000/2773150553.jpg,HealthPro 100,1686510,,,,,,,,필터식,"프리맥스필터,    하이퍼HEPA필터",TRUE,,27.2,     
샤프,http://www.enuri.com/detail.jsp?modelno=14984371&cate=240616,샤프,http://image.enuri.gscdn.com/webimage_300/2484000000/2484040000/2484047488.jpg,IG-GC15,77490,,,,,,음이온식,,,,FALSE,,1,     
세인스,http://www.enuri.com/detail.jsp?modelno=13460473&cate=240616,세인스,http://photo3.enuri.com/data/images/service/img_300/13460000/13460473.jpg,조아요 미니 공기청정기,38490,,,,,,,복합식,,"활성탄필터,    HEPA필터",TRUE,,4.5,16.5 x 14.5 x 10cm
미디어,http://www.enuri.com/detail.jsp?modelno=13406657&cate=240616,미디어,http://photo3.enuri.com/data/images/service/img_300/13406000/13406657.jpg,MAP-076GD,282810,,,,,,,복합식,,"프리필터 ,카본필터,    HEPA필터",TRUE,,7.5,32.5 x 50 x 17.5cm
휘바람,http://www.enuri.com/detail.jsp?modelno=13140971&cate=240616,청호나이스,http://photo3.enuri.com/data/images/service/img_300/13140000/13140919.jpg,CHA-K700A,32900,CA인증,,,,,,,필터식,"프리필터 ,    탈취필터 ,항알레르겐필터,    HEPA필터",TRUE,,15.2,30 x 76 x 30cm
알파인,http://www.enuri.com/detail.jsp?modelno=12247008&cate=240616,알파인,http://photo3.enuri.com/data/images/service/img_300/12247000/12247008.jpg,오토메이트 3,99000,,,,,,음이온식,,,(차량용),FALSE,,,    (차량용) 
룩스,http://www.enuri.com/detail.jsp?modelno=12098025&cate=240616,룩스,http://photo3.enuri.com/data/images/service/img_300/12098000/12098025.jpg,LACL-1 Vantus,930600,,,,,CADR,,,필터식,HEPA필터,TRUE,,4.2,     
루헨스,http://www.enuri.com/detail.jsp?modelno=11982747&cate=240616,원봉,http://photo3.enuri.com/data/images/service/img_300/11982000/11982747.jpg,WHA-200,23900,CA인증,,,,,,복합식,,"프리필터 ,    탈취필터 ,항균필터,    HEPA필터",TRUE,,10.2,43 x 64.2 x 28cm
에이티앤에스그룹,http://www.enuri.com/detail.jsp?modelno=11845822&cate=240616,에이티앤에스그룹,http://photo3.enuri.com/data/images/service/img_300/11845000/11845822.jpg,"TD-1866, BF-2025",423000,,,,,,,,,,FALSE,,,
아이플렉스,http://www.enuri.com/detail.jsp?modelno=11515595&cate=240616,아이플렉스,http://photo3.enuri.com/data/images/service/img_300/11515000/11515595.jpg,닥터 에어나이저,11300,,,,,,음이온식,,,,FALSE,,,     
,http://www.enuri.com/detail.jsp?modelno=11356014&cate=240616,,http://photo3.enuri.com/data/images/service/img_300/11356000/11356014.jpg,AOP-405,517000,,,,,,음이온식,,,,FALSE,,8.1,22 x 35 x 12cm
월풀,http://www.enuri.com/detail.jsp?modelno=11592777&cate=240616,월풀,http://photo3.enuri.com/data/images/service/img_300/8297000/8297625.jpg,APR25530K,190000,,,,,,,,필터식,"프리필터 ,    HEPA필터",TRUE,,15.1,35.6 x 57.2 x 26.3cm
케어스,http://www.enuri.com/detail.jsp?modelno=7634513&cate=240616,코웨이,http://photo3.enuri.com/data/images/service/img_300/7634000/7634513.jpg,AS-0110GI,72380,,,,,,음이온식,,,,FALSE,,,9 x 17 x 8cm
이과수,http://www.enuri.com/detail.jsp?modelno=7358162&cate=240616,청호나이스,http://photo3.enuri.com/data/images/service/img_300/7358000/7358167.jpg,CHA-550ZA,27900,CA인증,,,,,,,필터식,"프리필터 ,    탈취필터 ,항균미디움필터,    HEPA필터",TRUE,,10.2,39 x 62.3 x 20.5cm
이과수,http://www.enuri.com/detail.jsp?modelno=2537076&cate=240616,청호나이스,http://photo3.enuri.com/data/images/service/big/2537000/2537048.jpg,CHA-300WA(스탠드형),25900,CA인증,,,,,,,필터식,"프리필터 ,    탈취필터 ,항균미디움필터,    HEPA필터",TRUE,,6.9,32.6 x 51.2 x 16.2cm
라이트컴,http://www.enuri.com/detail.jsp?modelno=501741&cate=240616,라이트컴,http://photo3.enuri.com/data/images/service/small/501000/501741.gif,EPI-585,21410,,,,,,음이온식,,,,FALSE,,,
알파인,http://www.enuri.com/detail.jsp?modelno=435681&cate=240616,알파인,http://photo3.enuri.com/data/images/service/img_300/435000/435681.jpg,하이퍼에어,800000,,,,,,음이온식,,,,FALSE,,49.9,22.5 x 23 x 18cm
알파인,http://www.enuri.com/detail.jsp?modelno=433261&cate=240616,알파인,http://photo3.enuri.com/data/images/service/img_300/433000/433261.jpg,세니메이트,124000,,,,,,음이온식,,,,FALSE,,0.9,7 x 8 x 4cm
FIGARO,http://www.enuri.com/detail.jsp?modelno=280479&cate=240616,보성전자,http://photo3.enuri.com/data/images/service/img_300/280000/280479.jpg,FA-501AN,1451830,,,,,,,복합식,,"프리필터 ,    탈취필터",FALSE,,49.9,50 x 175 x 29cm
청풍,http://www.enuri.com/detail.jsp?modelno=97195&cate=240616,청풍,http://photo3.enuri.com/data/images/service/img_300/97000/97195.jpg,CAP-M3012P,1651800,,,,,,,복합식,,"프리필터 ,미디움필터,    탈취HEPA필터",TRUE,,6,40 x 54.7 x 27cm
코웨이,http://www.enuri.com/detail.jsp?modelno=27073268&cate=240616,코웨이,http://image.enuri.gscdn.com/webimage_300/3499800000/3499860000/3499866354.jpg,AP-2318D,38900,,,,,,,,필터식,"탈취필터 ,    HEPA필터",TRUE,,9,     
에어로사이드,http://www.enuri.com/detail.jsp?modelno=18665514&cate=240616,에어로사이드,http://image.enuri.gscdn.com/webimage_300/2818100000/2818100000/2818106807.jpg,GCS-25,5821200,,,,,,,,,,FALSE,,,52.5 x 46.5 x 11.5cm
라이트에어,http://www.enuri.com/detail.jsp?modelno=15240074&cate=240616,라이트에어,http://photo3.enuri.com/data/images/service/img_300/15240000/15240074.jpg,Evolution,523100,,,,,,음이온식,,,,FALSE,,15.1,19 x 59cm
에어프리,http://www.enuri.com/detail.jsp?modelno=12381181&cate=240616,에어프리,http://photo3.enuri.com/data/images/service/img_300/12381000/12381181.jpg,Airfree P80,363860,,,,,,,,,,FALSE,,9.6,21.5 x 27 x 21.5cm
롯데기공,http://www.enuri.com/detail.jsp?modelno=11846736&cate=240616,롯데기공,http://photo3.enuri.com/data/images/service/img_300/11846000/11846736.jpg,LE-901,223700,CA인증,,,,,,,필터식,"프리필터 ,    탈취필터 ,    항바이러스필터 ,    HEPA필터",TRUE,,10.5,37 x 51 x 19cm
SK매직,http://www.enuri.com/detail.jsp?modelno=9847983&cate=240616,SK매직,http://photo3.enuri.com/data/images/service/img_300/9847000/9847983.jpg,ACL-180,21900,,,,,,,,필터식,"프리필터 ,복합필터,    항바이러스필터",FALSE,,8.5,38.4 x 61.3 x 19.8cm
동양에스앤티,http://www.enuri.com/detail.jsp?modelno=8687233&cate=240616,동양에스앤티,http://photo3.enuri.com/data/images/service/img_300/8687000/8687233.jpg,에어클라라,224430,,,,,,음이온식,,,,FALSE,,,     
이엔드디,http://www.enuri.com/detail.jsp?modelno=8113786&cate=240616,이엔드디,http://photo3.enuri.com/data/images/service/small/8113000/8113786.gif,에어위즈,112640,,,,,,,,필터식,"프리필터 ,    광촉매필터 ,    탈취필터",FALSE,,3,     
블루앤,http://www.enuri.com/detail.jsp?modelno=2647084&cate=240616,블루앤,http://photo3.enuri.com/data/images/service/img_300/2647000/2647084.jpg,BN-105,32720,,,,,,음이온식,,,,FALSE,,4.5,     
에어텍,http://www.enuri.com/detail.jsp?modelno=1623073&cate=240616,에어텍,http://photo3.enuri.com/data/images/service/img_300/1623000/1623073.jpg,VAV 알라딘,57000,,,,,,,,필터식,나노필름필터,FALSE,,4.5,     
오스틴에어,http://www.enuri.com/detail.jsp?modelno=571711&cate=240616,오스틴에어,http://photo3.enuri.com/data/images/service/small/571000/571711.gif,HM-200,1072870,,,,,,,,필터식,트루HEPA필터,TRUE,,18.1,28 x 42 x 28cm
지웰코리아,http://www.enuri.com/detail.jsp?modelno=27827461&cate=240616,지웰코리아,http://photo3.enuri.com/data/images/service/big/27827000/27827461.jpg,루바 e-나노필터 공기청정기,123710,,,,,,,복합식,,나노필름필터,FALSE,,10,     
에비에어,http://www.enuri.com/detail.jsp?modelno=15058920&cate=240616,에비에어,http://photo3.enuri.com/data/images/service/img_300/15058000/15058920.jpg,i600,369000,,,,,CADR,,복합식,,"나노실버필터,카본필터,    HEPA필터",TRUE,,18.1,30.4 x 72 x 30.4cm
청풍,http://www.enuri.com/detail.jsp?modelno=11329295&cate=240616,청풍,http://photo3.enuri.com/data/images/service/img_300/11329000/11329295.jpg,CAP-N2014W,330000,,,,,,,복합식,,"프리필터 ,카본필터,    HEPA필터",TRUE,,9,52.3 x 32.8 x 16.8cm
코러스,http://www.enuri.com/detail.jsp?modelno=2717502&cate=240616,코러스,http://photo3.enuri.com/data/images/service/img_300/2717000/2717502.jpg,KAP-650M,874510,,,,,,,복합식,,"프리필터 ,    탈취필터 ,    HEPA필터",TRUE,,64.7,50 x 116 x 33cm
재미월드,http://www.enuri.com/detail.jsp?modelno=1957676&cate=240616,재미월드,http://photo3.enuri.com/data/images/service/img_300/1957000/1957676.jpg,애플 USB 공기청정기(시거잭포함),21560,,,,,,,복합식,,탈취필터,FALSE,,3.6,8 x 8 x 7cm
미쓰비시,http://www.enuri.com/detail.jsp?modelno=478911&cate=240616,미쓰비시,http://photo3.enuri.com/data/images/service/img_300/478000/478911.jpg,SPA-502K,499990,,,,,,,복합식,,"프리필터 ,    탈취필터 ,    BioHEPA필터",TRUE,,11.9,46 x 57 x 23.2cm
