brand,detailurl,factory,imgname,modelname,price,CA,asthma,atopy,allergy,CADR,anion,compound,filter,varietyfilter,HEPA,PM,peoung,size
휘센,http://www.enuri.com/detail.jsp?modelno=1818007&cate=240616,LG,http://photo3.enuri.com/data/images/service/img_300/1818000/1818007.jpg,LA-R060CW,658000,CA인증,,,,,,,필터식,"프리필터 ,    워셔블탈취필터 ,    워셔블HEPA필터",TRUE,,6.3,37.2 x 46.3 x 19.9cm
대유위니아,http://www.enuri.com/detail.jsp?modelno=23804019&cate=240616,대유위니아,http://photo3.enuri.com/data/images/service/img_300/23804000/23804019.jpg,EPM14DAW,346850,CA인증,,,,,,,필터식,"프리필터 ,극초미세집진필터,새집증후군필터,    탈취카본필터",FALSE,PM1.0,14.1,38 x 76 x 31.5cm
코웨이,http://www.enuri.com/detail.jsp?modelno=17231974&cate=240616,코웨이,http://image.enuri.gscdn.com/webimage_300/2795200000/2795280000/2795283448.jpg,AP-1016Q,175120,,,,,,,,필터식,"프리필터 ,복합필터",FALSE,,10,33.5 x 68.5 x 20.3cm
블루에어,http://www.enuri.com/detail.jsp?modelno=14847530&cate=240616,블루에어,http://photo3.enuri.com/data/images/service/img_300/14847000/14847530.jpg,CLASSIC 280i,600180,,,아토피안심인증,,CADR,,,필터식,HEPA사일런트필터,TRUE,,7.8,43.2 x 53.3 x 20.9cm
에어퓨라,http://www.enuri.com/detail.jsp?modelno=12259070&cate=240616,에어퓨라,http://photo3.enuri.com/data/images/service/img_300/12259000/12259070.jpg,Airpura 600V,1482500,,,,,,,,필터식,"프리필터 ,탄소필터,    HEPA필터",TRUE,,36.3,     
블루스카이,http://www.enuri.com/detail.jsp?modelno=12147547&cate=240616,삼성,http://photo3.enuri.com/data/images/service/img_300/12147000/12147547.jpg,AX60J7100WTD,1423500,CA인증,,,,,,복합식,,"프리필터 ,    숯탈취필터 ,    HEPA필터",TRUE,,18.1,36 x 105.4 x 28.4cm
케어스,http://www.enuri.com/detail.jsp?modelno=8444715&cate=240616,코웨이,http://photo3.enuri.com/data/images/service/img_300/8444000/8444713.jpg,AP-1012LH,22900,,,,,,,,필터식,"프리필터 ,    탈취필터 ,    한방황금필터 ,    HEPA필터",TRUE,,10,35.4 x 64.5 x 19.4cm
노비타,http://www.enuri.com/detail.jsp?modelno=28213707&cate=240616,노비타,http://photo3.enuri.com/data/images/service/big/28213000/28213707.jpg,퓨리아 AP-KT30,238660,,,,,,,,필터식,"프리필터 ,    탈취필터 ,초미세먼지필터",FALSE,,13,29 x 78 x 29cm
이지케어,http://www.enuri.com/detail.jsp?modelno=27721523&cate=240616,이지케어,http://photo3.enuri.com/data/images/service/big/27721000/27721523.jpg,OA-005,153580,,,,,,,,,,FALSE,,3,8 x 12.7 x 8cm
MISO,http://www.enuri.com/detail.jsp?modelno=27543120&cate=240616,엠텍,http://photo3.enuri.com/data/images/service/big/27543000/27543120.jpg,MC-100,36000,,,,,,,복합식,,HEPA필터,TRUE,,,15 x 14 x 9cm
,http://www.enuri.com/detail.jsp?modelno=26141211&cate=240616,,http://photo3.enuri.com/data/images/service/big/26141000/26141211.jpg,마마이온라피스,106000,,,,,,음이온식,,,,FALSE,,,2.6 x 4.2 x 1.6cm
하타,http://www.enuri.com/detail.jsp?modelno=20048401&cate=240616,하타,http://photo3.enuri.com/data/images/service/big/20048000/20048401.jpg,아코마 마블 공기청정 블루투스 스피커(HASP-01A-M),188860,,,,,,,,필터식,"탈취필터 ,    항바이러스필터 ,    HEPA필터",TRUE,,,19.8 x 33.7 x 19.8cm
블루스카이,http://www.enuri.com/detail.jsp?modelno=17991576&cate=240616,삼성,http://photo3.enuri.com/data/images/service/img_300/17991000/17991576.jpg,AX90M7590SDD,1253330,CA인증,,,,,,복합식,,"프리필터 ,    숯탈취필터 ,초미세먼지항균필터",FALSE,,27.2,36 x 105.4 x 28.4cm
대우글로벌,http://www.enuri.com/detail.jsp?modelno=13821573&cate=240616,대우글로벌,http://photo3.enuri.com/data/images/service/img_300/13821000/13821573.jpg,그린루프트 DGP-7100,380040,,,,,,,복합식,,"프리필터 ,카본필터,탄소필터,    HEPA필터",TRUE,,12.5,     
에어세이브,http://www.enuri.com/detail.jsp?modelno=13154689&cate=240616,에어세이브,http://photo3.enuri.com/data/images/service/img_300/13154000/13154689.jpg,라인프렌즈 브라운 공기청정기,29500,,,,,,음이온식,,,,FALSE,,,     
휘센미니,http://www.enuri.com/detail.jsp?modelno=7285075&cate=240616,LG,http://photo3.enuri.com/data/images/service/img_300/7285000/7285075.jpg,미니 LDJ106APSP,239700,,,,,,,복합식,,"프리필터 ,    탈취필터 ,    살균HEPA필터",TRUE,,5.1,46.3 x 54.1 x 28.4cm
귀뚜라미홈시스,http://www.enuri.com/detail.jsp?modelno=1024503&cate=240616,귀뚜라미홈시스,http://photo3.enuri.com/data/images/service/small/1024000/1024503.gif,KHA-1860,553660,CA인증,,,,,,,필터식,"프리필터 ,살균구리폼필터,    탈취카본필터 ,    집진HEPA필터",TRUE,,59.8,53 x 67 x 36cm
미쓰비시,http://www.enuri.com/detail.jsp?modelno=246028&cate=240616,미쓰비시,http://photo3.enuri.com/data/images/service/img_300/246000/246028.jpg,CT-456DK,186130,,,,,,,복합식,,"프리필터 ,    탈취필터 ,    BioHEPA필터",TRUE,,9.6,     
쿠쿠,http://www.enuri.com/detail.jsp?modelno=23943473&cate=240616,쿠쿠,http://photo3.enuri.com/data/images/service/img_300/23900000/23900555.jpg,AC-12X10FW,20900,CA인증,,,,,,복합식,,"프리필터 ,    탈취필터 ,안심HEPA필터",TRUE,,11.3,43 x 55 x 27.6cm
쿠쿠,http://www.enuri.com/detail.jsp?modelno=13041683&cate=240616,쿠쿠,http://photo3.enuri.com/data/images/service/img_300/13041000/13041683.jpg,CAC-AH1210FW,22900,CA인증,,,,,,복합식,,"프리필터 ,알레르겐필터,유해가스안심필터,    탈취필터 ,    HEPA필터",TRUE,,11.3,47 x 61 x 25cm
어메이징그레이스,http://www.enuri.com/detail.jsp?modelno=12066834&cate=240616,어메이징그레이스,http://photo3.enuri.com/data/images/service/img_300/12066000/12066834.jpg,어메이징 에어 터치,33100,,,,,,,,필터식,워셔블에어필터,FALSE,,,11 x 11 x 9cm
쿠쿠,http://www.enuri.com/detail.jsp?modelno=27073349&cate=240616,쿠쿠,http://photo3.enuri.com/data/images/service/big/27073000/27073347.jpg,AC-12XCL10FW,22900,,,,,,,,필터식,"프리필터 ,집진필터,    탈취필터",FALSE,,11.3,43 x 55 x 27.6cm
대유위니아,http://www.enuri.com/detail.jsp?modelno=24002019&cate=240616,대유위니아,http://photo3.enuri.com/data/images/service/img_300/24002000/24002019.jpg,EPB16DAE,257340,CA인증,,아토피안심인증,,,,복합식,,"프리필터 ,극초미세집진필터,    탈취카본필터",FALSE,,16,38.6 x 64 x 26.5cm
